id,coverage,k-length,metric,score
19,10,10.0,BC,0.19716966630189278
19,10,10.0,BF,0.10273316025961843
19,10,10.0,CS,0.1147465136886104
19,30,10.0,BC,0.14182734669369815
19,30,10.0,BF,0.05503514945942168
19,30,10.0,CS,0.0620504473055302
19,10,20.0,BC,0.2645371515929428
19,10,20.0,BF,0.2246405574705101
19,10,20.0,CS,0.26149114907768023
19,30,20.0,BC,0.21791828758332846
19,30,20.0,BF,0.12802413233690552
19,30,20.0,CS,0.15221489177245612
19,10,30.0,BC,0.29642616292128415
19,10,30.0,BF,0.3022125244145475
19,10,30.0,CS,0.34908446612695515
19,30,30.0,BC,0.2707529868010339
19,30,30.0,BF,0.17453550970415094
19,30,30.0,CS,0.2075750895779072
19,10,40.0,BC,0.31212639706801143
19,10,40.0,BF,0.3895493243172177
19,10,40.0,CS,0.44448510864689594
19,30,40.0,BC,0.31965290981491534
19,30,40.0,BF,0.21768136128925442
19,30,40.0,CS,0.2588022343903367
19,10,10.0,BF_Small,0.004775529095866269
19,30,10.0,BF_Small,0.0023598752717076256
19,10,20.0,BF_Small,0.0076808067690860415
19,30,20.0,BF_Small,0.003911739690424865
19,10,30.0,BF_Small,0.010932012017011649
19,30,30.0,BF_Small,0.005339628831382691
19,10,40.0,BF_Small,0.015154279801382843
19,30,40.0,BF_Small,0.006594591527361617
