id,coverage,k-length,metric,score
19,10,10.0,BC,0.21982242853238326
19,10,10.0,BF,0.0998387900116882
19,10,10.0,CS,0.10368294705061783
19,30,10.0,BC,0.1545113129383382
19,30,10.0,BF,0.05955090186942537
19,30,10.0,CS,0.062003274235079155
19,10,20.0,BC,0.3213191251716745
19,10,20.0,BF,0.2061761836924454
19,10,20.0,CS,0.21838134675155627
19,30,20.0,BC,0.24875340557621237
19,30,20.0,BF,0.14416566317292656
19,30,20.0,CS,0.1534144084481831
19,10,30.0,BC,0.3830600416158592
19,10,30.0,BF,0.2620582171776905
19,10,30.0,CS,0.2777856967704009
19,30,30.0,BC,0.31218629332483466
19,30,30.0,BF,0.19656604334891822
19,30,30.0,CS,0.2094555775378692
19,10,40.0,BC,0.4387872134161413
19,10,40.0,BF,0.31392560681931986
19,10,40.0,CS,0.33322602820886243
19,30,40.0,BC,0.369334089489007
19,30,40.0,BF,0.24471806569650234
19,30,40.0,CS,0.26143176085598874
