id,coverage,k-length,metric,score
18,10,10.0,BC,0.16742172925389828
18,10,10.0,BF,0.07844940789712268
18,10,10.0,CS,0.0872837795787019
18,30,10.0,BC,0.11206424575235702
18,30,10.0,BF,0.03366337189758388
18,30,10.0,CS,0.03781433561649376
18,10,20.0,BC,0.20240077186766373
18,10,20.0,BF,0.16854781854078935
18,10,20.0,CS,0.19619078925910347
18,30,20.0,BC,0.1548712474645912
18,30,20.0,BF,0.07045644703639828
18,30,20.0,CS,0.08374892108304462
18,10,30.0,BC,0.2076581544099859
18,10,30.0,BF,0.22734199613869685
18,10,30.0,CS,0.26237580790890047
18,30,30.0,BC,0.1812505329596087
18,30,30.0,BF,0.09272700724233325
18,30,30.0,CS,0.11008301881257265
18,10,40.0,BC,0.19682280019798715
18,10,40.0,BF,0.3029550565898203
18,10,40.0,CS,0.3454413494073516
18,30,40.0,BC,0.20741349190794367
18,30,40.0,BF,0.11473354530803911
18,30,40.0,CS,0.13618579986495194
18,10,10.0,BF_Small,0.0037040030912916804
18,30,10.0,BF_Small,0.0014809815611033599
18,10,20.0,BF_Small,0.005838349764413874
18,30,20.0,BF_Small,0.0021795283174342946
18,10,30.0,BF_Small,0.00818804422406373
18,30,30.0,BF_Small,0.0028629221860137265
18,10,40.0,BF_Small,0.011823345531369421
18,30,40.0,BF_Small,0.003516266044292032
