id,coverage,k-length,metric,score
18,10,10.0,BC,0.18970838286613415
18,10,10.0,BF,0.07436157685121018
18,10,10.0,CS,0.07713081002225886
18,30,10.0,BC,0.12496310172004575
18,30,10.0,BF,0.036531504994300884
18,30,10.0,CS,0.03798806019549962
18,10,20.0,BC,0.2620705257846782
18,10,20.0,BF,0.14328806671747146
18,10,20.0,CS,0.1515529447279096
18,30,20.0,BC,0.18804355752911486
18,30,20.0,BF,0.08012396512808938
18,30,20.0,CS,0.08511370582298804
18,10,30.0,BC,0.3026074575989358
18,10,30.0,BF,0.1745890478260148
18,10,30.0,CS,0.1850297670392096
18,30,30.0,BC,0.22750352379940628
18,30,30.0,BF,0.10541134452185821
18,30,30.0,CS,0.1122772867208088
18,10,40.0,BC,0.3416149116302064
18,10,40.0,BF,0.20645638913050154
18,10,40.0,CS,0.2192915087013294
18,30,40.0,BC,0.26493683181930544
18,30,40.0,BF,0.13039377550142758
18,30,40.0,CS,0.13933570868953063
