id,coverage,k-length,metric,score
1506,10,10.0,BC,0.14997975116176904
1506,10,10.0,BF,0.06285292266450493
1506,10,10.0,CS,0.06915340393332203
1506,30,10.0,BC,0.09333149991507789
1506,30,10.0,BF,0.020882653391201236
1506,30,10.0,CS,0.023167048432014187
1506,10,20.0,BC,0.16958463843545363
1506,10,20.0,BF,0.1312703719830115
1506,10,20.0,CS,0.15125307345837452
1506,30,20.0,BC,0.11977396042624364
1506,30,20.0,BF,0.03877714037210975
1506,30,20.0,CS,0.04553060683171277
1506,10,30.0,BC,0.16145538300453485
1506,10,30.0,BF,0.18056388494783557
1506,10,30.0,CS,0.207400391579581
1506,30,30.0,BC,0.13208541444440425
1506,30,30.0,BF,0.047783382043421176
1506,30,30.0,CS,0.05637908055210862
1506,10,40.0,BC,0.13593616999612954
1506,10,40.0,BF,0.2482194137206837
1506,10,40.0,CS,0.28268572723893454
1506,30,40.0,BC,0.14490296747463807
1506,30,40.0,BF,0.05705436002992382
1506,30,40.0,CS,0.06757399389934503
