id,coverage,k-length,metric,score
16,10,10.0,BC,0.4148093268447465
16,10,10.0,BF,0.2916952787306743
16,10,10.0,CS,0.30395298904640083
16,30,10.0,BC,0.37130539961037384
16,30,10.0,BF,0.2596812687473517
16,30,10.0,CS,0.2712759570703163
16,10,20.0,BC,0.6318637888151942
16,10,20.0,BF,0.5447375283458066
16,10,20.0,CS,0.5772527386222186
16,30,20.0,BC,0.5937796156025638
16,30,20.0,BF,0.509471778180851
16,30,20.0,CS,0.5423895847009153
16,10,30.0,BC,0.7048169722037466
16,10,30.0,BF,0.6181942398794552
16,10,30.0,CS,0.6557103482803137
16,30,30.0,BC,0.6720386709560411
16,30,30.0,BF,0.5846069554011133
16,30,30.0,CS,0.6233999239479453
16,10,40.0,BC,0.7503663085012156
16,10,40.0,BF,0.6633176983434432
16,10,40.0,CS,0.7045441073637165
16,30,40.0,BC,0.720594384707288
16,30,40.0,BF,0.6297779492620541
16,30,40.0,CS,0.6730796787891256
