num diffs,metric,mutation rate,coverage,k-length,score,,,,,
5451,BF,1.00E-05,10,30,0.901776226,,,,,
5309,BF,1.00E-05,10,40,0.875654407,,,,,
8314,BF,1.00E-05,20,10,0.994014452,,,,,
12024,BF,1.00E-05,20,20,0.970969951,,,,,
5828,BF,1.00E-05,20,30,0.949345857,,,,,
19110,BF,1.00E-05,20,40,0.968515645,,,,,
6463,BF,1.00E-05,30,10,0.99272025,,,,,
1499,BF,1.00E-05,30,20,0.987628143,,,,,
5779,BF,1.00E-05,30,30,0.963077734,,,,,
9929,BF,1.00E-05,30,40,0.856557214,,,,,
6827,BF,1.00E-05,40,10,0.988285491,,,,,
7033,BF,1.00E-05,40,20,0.97926993,,,,,
9603,BF,1.00E-05,40,30,0.930595738,,,,,
8079,BF,1.00E-05,40,40,0.950574711,,,,,
41408,BF,3.00E-05,10,10,0.97969577,,,,,
19332,BF,3.00E-05,10,20,0.838390536,,,,,
54236,BF,3.00E-05,10,30,0.700700474,,,,,
32609,BF,3.00E-05,10,40,0.780330863,,,,,
41913,BF,3.00E-05,20,10,0.982682696,,,,,
24732,BF,3.00E-05,20,20,0.875535029,,,,,
17259,BF,3.00E-05,20,30,0.884728818,,,,,
17203,BF,3.00E-05,20,40,0.705924825,,,,,
22458,BF,3.00E-05,30,10,0.989459136,,,,,
13743,BF,3.00E-05,30,20,0.917561509,,,,,
36506,BF,3.00E-05,30,30,0.817946722,,,,,
9588,BF,3.00E-05,30,40,0.969446102,,,,,
27922,BF,3.00E-05,40,10,0.974523295,,,,,
28794,BF,3.00E-05,40,20,0.877718613,,,,,
19797,BF,3.00E-05,40,30,0.868487972,,,,,
22980,BF,3.00E-05,40,40,0.858718062,,,,,
5579,BF,1.00E-05,10,10,0.985842997,,,,,
10357,BF,1.00E-05,10,20,0.874558101,,,,,
1883,BF,1.00E-05,10,30,0.919106612,,,,,
8021,BF,1.00E-05,10,40,0.843936375,,,,,
2565,BF,1.00E-05,20,10,0.992322426,,,,,
17372,BF,1.00E-05,20,20,0.948405202,,,,,
6876,BF,1.00E-05,20,30,0.915081315,,,,,
4345,BF,1.00E-05,20,40,0.970868799,,,,,
2186,BF,1.00E-05,30,10,0.993363232,,,,,
5037,BF,1.00E-05,30,20,0.98308791,,,,,
3848,BF,1.00E-05,30,30,0.962669774,,,,,
801,BF,1.00E-05,30,40,0.959408862,,,,,
9029,BF,1.00E-05,40,10,0.982071281,,,,,
1496,BF,1.00E-05,40,20,0.955469616,,,,,
9159,BF,1.00E-05,40,30,0.970791092,,,,,
4740,BF,1.00E-05,40,40,0.960619691,,,,,
38180,BF,3.00E-05,10,10,0.966274119,,,,,
24203,BF,3.00E-05,10,20,0.880084551,,,,,
32941,BF,3.00E-05,10,30,0.847442439,,,,,
16479,BF,3.00E-05,10,40,0.764830484,,,,,
6314,BF,3.00E-05,20,10,0.995383368,,,,,
27064,BF,3.00E-05,20,20,0.870501944,,,,,
16411,BF,3.00E-05,20,30,0.946305122,,,,,
25811,BF,3.00E-05,20,40,0.822752398,,,,,
13896,BF,3.00E-05,30,10,0.985900683,,,,,
31449,BF,3.00E-05,30,20,0.876694964,,,,,
16324,BF,3.00E-05,30,30,0.887316643,,,,,
29746,BF,3.00E-05,30,40,0.776859269,,,,,
22565,BF,3.00E-05,40,10,0.973043303,,,,,
34454,BF,3.00E-05,40,20,0.920377479,,,,,
45993,BF,3.00E-05,40,30,0.907734453,,,,,
36276,BF,3.00E-05,40,40,0.714537518,,,,,
11787,BF,1.00E-05,10,10,0.979818162,,,,,
14448,BF,1.00E-05,10,20,0.916497983,,,,,
7357,BF,1.00E-05,10,30,0.896033772,,,,,
3547,BF,1.00E-05,10,40,0.89693372,,,,,
12003,BF,1.00E-05,20,10,0.993208314,,,,,
5473,BF,1.00E-05,20,20,0.96696836,,,,,
3856,BF,1.00E-05,20,30,0.952144656,,,,,
5439,BF,1.00E-05,20,40,0.921085746,,,,,
12504,BF,1.00E-05,30,10,0.988498615,,,,,
5938,BF,1.00E-05,30,20,0.977749742,,,,,
3788,BF,1.00E-05,30,30,0.960361569,,,,,
5031,BF,1.00E-05,30,40,0.90512616,,,,,
6201,BF,1.00E-05,40,10,0.978270469,,,,,
8237,BF,1.00E-05,40,20,0.980731677,,,,,
3371,BF,1.00E-05,40,30,0.968191758,,,,,
6455,BF,1.00E-05,40,40,0.892128659,,,,,
65980,BF,3.00E-05,10,10,0.936507081,,,,,
12916,BF,3.00E-05,10,20,0.91892518,,,,,
15514,BF,3.00E-05,10,30,0.804582685,,,,,
26262,BF,3.00E-05,10,40,0.736626396,,,,,
9018,BF,3.00E-05,20,10,0.993479657,,,,,
27177,BF,3.00E-05,20,20,0.880049681,,,,,
14041,BF,3.00E-05,20,30,0.933700395,,,,,
9888,BF,3.00E-05,20,40,0.884562417,,,,,
32194,BF,3.00E-05,30,10,0.984314978,,,,,
30164,BF,3.00E-05,30,20,0.924397895,,,,,
23067,BF,3.00E-05,30,30,0.868762327,,,,,
15667,BF,3.00E-05,30,40,0.925662406,,,,,
16384,BF,3.00E-05,40,10,0.986856064,,,,,
21297,BF,3.00E-05,40,20,0.916141388,,,,,
14887,BF,3.00E-05,40,30,0.908810614,,,,,
39446,BF,3.00E-05,40,40,0.835636338,,,,,
15899,BF,1.00E-05,10,10,0.984858963,,,,,
6435,BF,1.00E-05,10,20,0.9188153,,,,,
1525,BF,1.00E-05,10,30,0.915555037,,,,,
5855,BF,1.00E-05,10,40,0.836092475,,,,,
5741,BF,1.00E-05,20,10,0.991296018,,,,,
4692,BF,1.00E-05,20,20,0.968446223,,,,,
10172,BF,1.00E-05,20,30,0.882578901,,,,,
8332,BF,1.00E-05,20,40,0.946955727,,,,,
9100,BF,1.00E-05,30,10,0.990832344,,,,,
5898,BF,1.00E-05,30,20,0.969357024,,,,,
2913,BF,1.00E-05,30,30,0.952593204,,,,,
13418,BF,1.00E-05,30,40,0.860368895,,,,,
5408,BF,1.00E-05,40,10,0.983118819,,,,,
9244,BF,1.00E-05,40,20,0.977128393,,,,,
2836,BF,1.00E-05,40,30,0.980733492,,,,,
3093,BF,1.00E-05,40,40,0.949042177,,,,,
8541,BF,3.00E-05,10,10,0.985200676,,,,,
56749,BF,3.00E-05,10,20,0.724506253,,,,,
39063,BF,3.00E-05,10,30,0.679968462,,,,,
13197,BF,3.00E-05,10,40,0.804103279,,,,,
39092,BF,3.00E-05,20,10,0.995612476,,,,,
31200,BF,3.00E-05,20,20,0.978023097,,,,,
33747,BF,3.00E-05,20,30,0.886975623,,,,,
21476,BF,3.00E-05,20,40,0.94632611,,,,,
832,BF,3.00E-05,30,10,0.996420319,,,,,
6519,BF,3.00E-05,30,20,0.960393243,,,,,
4508,BF,3.00E-05,30,30,0.954432364,,,,,
33304,BF,3.00E-05,30,40,0.801113347,,,,,
17582,BF,3.00E-05,40,10,0.982288563,,,,,
9634,BF,3.00E-05,40,20,0.978087363,,,,,
39736,BF,3.00E-05,40,30,0.863787734,,,,,
16525,BF,3.00E-05,40,40,0.948380969,,,,,
9014,BF,1.00E-05,10,10,0.984974074,,,,,
4597,BF,1.00E-05,10,20,0.925986432,,,,,
9389,BF,1.00E-05,10,30,0.914934765,,,,,
6327,BF,1.00E-05,10,40,0.875640542,,,,,
6871,BF,1.00E-05,20,10,0.991932334,,,,,
2644,BF,1.00E-05,20,20,0.974252689,,,,,
8958,BF,1.00E-05,20,30,0.906533166,,,,,
5443,BF,1.00E-05,20,40,0.960528398,,,,,
2549,BF,1.00E-05,30,10,0.994049603,,,,,
11330,BF,1.00E-05,30,20,0.975829171,,,,,
18262,BF,1.00E-05,30,30,0.854890563,,,,,
7705,BF,1.00E-05,30,40,0.926171837,,,,,
8237,BF,1.00E-05,40,10,0.983981886,,,,,
5340,BF,1.00E-05,40,20,0.968510956,,,,,
5970,BF,1.00E-05,40,30,0.966914952,,,,,
6589,BF,1.00E-05,40,40,0.969671201,,,,,
9173,BF,3.00E-05,10,10,0.977082851,,,,,
12512,BF,3.00E-05,10,20,0.884728873,,,,,
22860,BF,3.00E-05,10,30,0.817964978,,,,,
38181,BF,3.00E-05,10,40,0.673225498,,,,,
17633,BF,3.00E-05,20,10,0.989301349,,,,,
34991,BF,3.00E-05,20,20,0.901869592,,,,,
45042,BF,3.00E-05,20,30,0.848456495,,,,,
11659,BF,3.00E-05,20,40,0.861316727,,,,,
17070,BF,3.00E-05,30,10,0.985430147,,,,,
15676,BF,3.00E-05,30,20,0.899477797,,,,,
27633,BF,3.00E-05,30,30,0.773076253,,,,,
9766,BF,3.00E-05,30,40,0.896120899,,,,,
