num diffs,metric,mutation rate,coverage,k-length,score
278,BC,1e-06,20,20,0.10139100989119898
286,BC,1e-06,20,20,0.10080010879598011
728,BC,1e-06,20,20,0.10763681964339111
790,BC,1e-06,20,20,0.12293618548245178
530,BC,1e-06,20,20,0.10544973434307359
