num diffs,metric,mutation rate,coverage,k-length,score
BF,3e-05,20,30,0.8738642805835048
34195,BC,3e-05,20,40,0.24096381287236246
BF,3e-05,20,40,0.913214528854718
48798,BC,3e-05,30,10,0.11606918807835553
BF,3e-05,30,10,0.9819290491813081
41908,BC,3e-05,30,20,0.18682607526276407
BF,3e-05,30,20,0.9567708850286455
15318,BC,3e-05,30,30,0.23178008319368515
BF,3e-05,30,30,0.9034838705803169
25334,BC,3e-05,30,40,0.5063072170222813
BF,3e-05,30,40,0.7401987520702361
30207,BC,3e-05,40,10,0.11868355703514533
BF,3e-05,40,10,0.9645164680723612
6260,BC,3e-05,40,20,0.14175138539702703
BF,3e-05,40,20,0.9601484819463232
35630,BC,3e-05,40,30,0.3315434924719478
BF,3e-05,40,30,0.8419007771674372
23929,BC,3e-05,40,40,0.3979211474107399
BF,3e-05,40,40,0.8393582278466336
2011,BC,1e-05,10,10,0.0904194376050731
BF,1e-05,10,10,0.9883231596329772
11682,BC,1e-05,10,20,0.25213740316736166
BF,1e-05,10,20,0.8965629719972295
8871,BC,1e-05,10,30,0.2950192286263206
BF,1e-05,10,30,0.8738537371822356
7322,BC,1e-05,10,40,0.35557092963629844
BF,1e-05,10,40,0.8330953909869175
2206,BC,1e-05,20,10,0.0630091775506989
BF,1e-05,20,10,0.9934912320650032
4801,BC,1e-05,20,20,0.11791607733057063
BF,1e-05,20,20,0.9771221591881356
10126,BC,1e-05,20,30,0.3008271978065038
BF,1e-05,20,30,0.8655500428732098
5622,BC,1e-05,20,40,0.14220143274631414
BF,1e-05,20,40,0.9631251810809417
2057,BC,1e-05,30,10,0.04596367391271039
BF,1e-05,30,10,0.9944033416522111
14334,BC,1e-05,30,20,0.1464869424227052
BF,1e-05,30,20,0.964416329855661
6764,BC,1e-05,30,30,0.17336234751304225
BF,1e-05,30,30,0.9486158686106646
7873,BC,1e-05,30,40,0.13750038846613333
BF,1e-05,30,40,0.9703837981775831
3848,BC,1e-05,40,10,0.04879892728792934
BF,1e-05,40,10,0.985595570015546
9062,BC,1e-05,40,20,0.17226526294481448
BF,1e-05,40,20,0.9484880027152554
9493,BC,1e-05,40,30,0.14753176135149293
BF,1e-05,40,30,0.9645450060666223
7585,BC,1e-05,40,40,0.1808104176584976
BF,1e-05,40,40,0.9517720630125139
23281,BC,3e-05,10,10,0.1341621726674379
BF,3e-05,10,10,0.9738600478764063
95118,BC,3e-05,10,20,0.6666311551056754
BF,3e-05,10,20,0.6248891197329163
698,BC,3e-05,10,30,0.214063328497061
BF,3e-05,10,30,0.9242627282702954
45923,BC,3e-05,10,40,0.6542473896515437
BF,3e-05,10,40,0.6296672355558167
24347,BC,3e-05,20,10,0.11744905770713165
BF,3e-05,20,10,0.9885683122387026
7106,BC,3e-05,20,20,0.15993530772846076
BF,3e-05,20,20,0.9566468479258274
24135,BC,3e-05,20,30,0.12226555970657005
BF,3e-05,20,30,0.9757817613929548
17532,BC,3e-05,20,40,0.23266905098214297
BF,3e-05,20,40,0.9127713811652073
15301,BC,3e-05,30,10,0.09889166645986613
BF,3e-05,30,10,0.9833395878279023
22771,BC,3e-05,30,20,0.2512127419158938
BF,3e-05,30,20,0.9051725907917908
23831,BC,3e-05,30,30,0.34306021503094486
BF,3e-05,30,30,0.8470109836901388
4995,BC,3e-05,30,40,0.13995990038290407
BF,3e-05,30,40,0.9642478634115267
38719,BC,3e-05,40,10,0.12297264832655641
BF,3e-05,40,10,0.9597486759676365
11577,BC,3e-05,40,20,0.14094879671683058
BF,3e-05,40,20,0.9678438725643734
23112,BC,3e-05,40,30,0.373742201530195
BF,3e-05,40,30,0.8199980584961667
26183,BC,3e-05,40,40,0.50096287559947
BF,3e-05,40,40,0.7683859119305338
10157,BC,1e-05,10,10,0.10622839816975216
BF,1e-05,10,10,0.9834552122402155
472,BC,1e-05,10,20,0.20079336427845884
BF,1e-05,10,20,0.936779019719141
5451,BC,1e-05,10,30,0.2537521185413487
BF,1e-05,10,30,0.9017762260170854
5309,BC,1e-05,10,40,0.2913931457239266
BF,1e-05,10,40,0.8756544071050126
8314,BC,1e-05,20,10,0.07295336613991621
BF,1e-05,20,10,0.9940144523262964
12024,BC,1e-05,20,20,0.12633209448004334
BF,1e-05,20,20,0.9709699505665614
5828,BC,1e-05,20,30,0.16763257584779545
BF,1e-05,20,30,0.949345857253731
19110,BC,1e-05,20,40,0.14302088191447848
BF,1e-05,20,40,0.9685156451334977
6463,BC,1e-05,30,10,0.06063684695659255
