num diffs,metric,mutation rate,coverage,k-length,score
681,BC,1e-06,20,40,0.1225936534378862
321,BC,1e-06,30,10,0.04673360105106794
590,BC,1e-06,30,20,0.08528185231995167
1363,BC,1e-06,30,30,0.10331669471190041
620,BC,1e-06,30,40,0.10067755223532582
673,BC,1e-06,40,10,0.03900253267764486
1212,BC,1e-06,40,20,0.07313322923140997
794,BC,1e-06,40,30,0.08573536748274146
375,BC,1e-06,40,40,0.08275995203881237
6189,BC,1e-05,10,10,0.09527270515129971
12633,BC,1e-05,10,20,0.2509297538146108
763,BC,1e-05,10,30,0.21542169399385958
8362,BC,1e-05,10,40,0.34520659728860303
6555,BC,1e-05,20,10,0.08290233691954763
7107,BC,1e-05,20,20,0.1621117225010562
11745,BC,1e-05,20,30,0.2243881362588147
14777,BC,1e-05,20,40,0.3670136250280629
6022,BC,1e-05,30,10,0.06047338539164315
3427,BC,1e-05,30,20,0.12482715556259893
8730,BC,1e-05,30,30,0.10430179620967128
9595,BC,1e-05,30,40,0.19833800701656157
9802,BC,1e-05,40,10,0.05445060187313977
2859,BC,1e-05,40,20,0.09927696968414046
7445,BC,1e-05,40,30,0.1521209055284033
13930,BC,1e-05,40,40,0.29375560317422056
1300,BC,1e-06,10,10,0.09045661222461554
1330,BC,1e-06,10,20,0.18344815430673667
607,BC,1e-06,10,30,0.21974273893306484
403,BC,1e-06,10,40,0.2598451805085743
74,BC,1e-06,20,10,0.05948936328237453
300,BC,1e-06,20,20,0.10139580437857698
1312,BC,1e-06,20,30,0.12123033823171048
198,BC,1e-06,20,40,0.11579654130838457
877,BC,1e-06,30,10,0.048626620156398626
1777,BC,1e-06,30,20,0.09805417290571561
749,BC,1e-06,30,30,0.09461555919323261
1268,BC,1e-06,30,40,0.11311591073051563
854,BC,1e-06,40,10,0.037935597687072
239,BC,1e-06,40,20,0.0767395652317876
2460,BC,1e-06,40,30,0.08793398581526335
513,BC,1e-06,40,40,0.08760060431272843
