id,coverage,k-length,metric,score
13,10,10.0,BC,0.17248633720790535
13,10,10.0,BF,0.08274362485423634
13,10,10.0,CS,0.09215135711305412
13,30,10.0,BC,0.11801092444413806
13,30,10.0,BF,0.037899822122957956
13,30,10.0,CS,0.04257469941962978
13,10,20.0,BC,0.21600393056290731
13,10,20.0,BF,0.18085792876819656
13,10,20.0,CS,0.2106651825021055
13,30,20.0,BC,0.16903577765035363
13,30,20.0,BF,0.08363360823554719
13,30,20.0,CS,0.09940076285811517
13,10,30.0,BC,0.2289254952334129
13,10,30.0,BF,0.244867682130522
13,10,30.0,CS,0.2831559731893216
13,30,30.0,BC,0.20251381442857116
13,30,30.0,BF,0.112243416694744
13,30,30.0,CS,0.13340395143591158
13,10,40.0,BC,0.22579045284693144
13,10,40.0,BF,0.32537246348497034
13,10,40.0,CS,0.3711935260409896
13,30,40.0,BC,0.23526853628510155
13,30,40.0,BF,0.1403186180543032
13,30,40.0,CS,0.16658755534785316
13,10,10.0,BF_Small,0.003941954452816159
13,30,10.0,BF_Small,0.0016724933705265165
13,10,20.0,BF_Small,0.006207524005960358
13,30,20.0,BF_Small,0.002598055027357413
13,10,30.0,BF_Small,0.00880623908034078
13,30,30.0,BF_Small,0.0034565171337298107
13,10,40.0,BF_Small,0.012710465105821463
13,30,40.0,BF_Small,0.00437792831101504
