id,coverage,k-length,metric,score
13,10,10.0,BC,0.1950323373295144
13,10,10.0,BF,0.07878951253159264
13,10,10.0,CS,0.08171923598600364
13,30,10.0,BC,0.13090945323722994
13,30,10.0,BF,0.0410744809538277
13,30,10.0,CS,0.042699649888648876
13,10,20.0,BC,0.27533337834556
13,10,20.0,BF,0.1573755743529295
13,10,20.0,CS,0.16678564770043086
13,30,20.0,BC,0.2017458637602028
13,30,20.0,BF,0.09465363781487868
13,30,20.0,CS,0.10072503899400746
13,10,30.0,BC,0.32238206337989134
13,10,30.0,BF,0.19609150435460201
13,10,30.0,CS,0.20792898389228745
13,30,30.0,BC,0.24771964374792144
13,30,30.0,BF,0.1271871435728388
13,30,30.0,CS,0.135526096354863
13,10,40.0,BC,0.3671611718782186
13,10,40.0,BF,0.23452147051865296
13,10,40.0,CS,0.24918806477990665
13,30,40.0,BC,0.2910086674665953
13,30,40.0,BF,0.15867604698172094
13,30,40.0,CS,0.1696162332055279
