id,coverage,k-length,metric,score
17,30,10.0,BC,0.15425008472943305
17,30,10.0,BF,0.0633394869382169
17,30,10.0,CS,0.07115578922655191
17,30,20.0,BC,0.24172196168517487
17,30,20.0,BF,0.14877185333136547
17,30,20.0,CS,0.17662635242541633
17,30,30.0,BC,0.29818568416006164
17,30,30.0,BF,0.19896958862348751
17,30,30.0,CS,0.2361712275914995
17,30,40.0,BC,0.34847015624773525
17,30,40.0,BF,0.24387180757004762
17,30,40.0,CS,0.2892777984372995
17,30,10.0,BF_Small,0.0027545465157362337
17,30,20.0,BF_Small,0.004616757230385262
17,30,30.0,BF_Small,0.006093564089777933
17,30,40.0,BF_Small,0.007386296228123777
