id,coverage,k-length,metric,score
14,10,10.0,BC,0.21474153420270042
14,10,10.0,BF,0.09674879216816128
14,10,10.0,CS,0.10041314957079053
14,30,10.0,BC,0.151995893575716
14,30,10.0,BF,0.05752107303116346
14,30,10.0,CS,0.0598678590997925
14,30,20.0,BC,0.2424833594334461
14,30,20.0,BF,0.13759968131163805
14,30,20.0,CS,0.14653411747574951
14,30,30.0,BC,0.30360692912525084
14,30,30.0,BF,0.18771729787296054
14,30,30.0,CS,0.20012532316829662
14,30,40.0,BC,0.35946543184127766
14,30,40.0,BF,0.23446161969494722
14,30,40.0,CS,0.2505743687454134
