id,coverage,k-length,metric,score
14,10,10.0,BC,0.19214577990682527
14,10,10.0,BF,0.09986513802178487
14,10,10.0,CS,0.11161935576330456
14,30,10.0,BC,0.13933242956549258
14,30,10.0,BF,0.053057998581214454
14,30,10.0,CS,0.059896100102492474
14,30,20.0,BC,0.2114603067527672
14,30,20.0,BF,0.12207012415197468
14,30,20.0,CS,0.14533841004200054
14,30,30.0,BC,0.26177689520628333
14,30,30.0,BF,0.16651901746990372
14,30,30.0,CS,0.19824817447035725
14,30,40.0,BC,0.3091387051948198
14,30,40.0,BF,0.20847674983982484
14,30,40.0,CS,0.24794529468294527
14,10,10.0,BF_Small,0.0046032287092018925
14,30,10.0,BF_Small,0.0022682103178853206
14,30,20.0,BF_Small,0.0037130760795736346
14,30,30.0,BF_Small,0.005104587672110942
14,30,40.0,BF_Small,0.006291273826063554
