id,coverage,k-length,metric,score
15,10,10.0,BC,0.2525262865776984
15,10,10.0,BF,0.14800234628511028
15,10,10.0,CS,0.1658400090923165
15,30,10.0,BC,0.20474653243270377
15,30,10.0,BF,0.10295715415387448
15,30,10.0,CS,0.11633084113165923
15,10,20.0,BC,0.3792512220239745
15,10,20.0,BF,0.323074259460346
15,10,20.0,CS,0.37673782229660896
15,30,20.0,BC,0.3419257126650287
15,30,20.0,BF,0.2410389191563362
15,30,20.0,CS,0.2871159436456592
15,10,30.0,BC,0.44940675322955703
15,10,30.0,BF,0.4235807824206269
15,10,30.0,CS,0.49005906306951175
15,30,30.0,BC,0.43137794945649444
15,30,30.0,BF,0.3216740199850362
15,30,30.0,CS,0.3829504721822172
15,10,40.0,BC,0.4989429908098855
15,10,40.0,BF,0.5199312013924267
15,10,40.0,CS,0.59379774479235
15,30,40.0,BC,0.5062980062055097
15,30,40.0,BF,0.3891342540244549
15,30,40.0,CS,0.46287764690381183
15,10,10.0,BF_Small,0.006614489401163194
15,30,10.0,BF_Small,0.004265584787815273
15,10,20.0,BF_Small,0.011105734434621496
15,30,20.0,BF_Small,0.007414585527083608
15,10,30.0,BF_Small,0.01522590165385724
15,30,30.0,BF_Small,0.009835934639661816
15,10,40.0,BF_Small,0.020249257928640085
15,30,40.0,BF_Small,0.012026353737373726
