id,coverage,k-length,metric,score
15,10,10.0,BC,0.27361464874644714
15,10,10.0,BF,0.14872697316618316
15,10,10.0,CS,0.15463229698423195
15,30,10.0,BC,0.2165892055834305
15,30,10.0,BF,0.11109902997215002
15,30,10.0,CS,0.11578073677032202
15,10,20.0,BC,0.4266091871001239
15,10,20.0,BF,0.32183379763347364
15,10,20.0,CS,0.34100407050025
15,30,20.0,BC,0.36786398317031227
15,30,20.0,BF,0.27044405524352894
15,30,20.0,CS,0.2879888266150034
15,10,30.0,BC,0.5164580677493256
15,10,30.0,BF,0.4103876161542339
15,10,30.0,CS,0.4355716041992116
15,30,30.0,BC,0.46367707602015035
15,30,30.0,BF,0.36008287434470754
15,30,30.0,CS,0.38426940858715775
15,10,40.0,BC,0.5901649659601204
15,10,40.0,BF,0.484543770920171
15,10,40.0,CS,0.51459538764257
15,30,40.0,BC,0.5423786310063308
15,30,40.0,BF,0.4348656357270724
15,30,40.0,CS,0.4646382890498236
